,Duration (s),End Time (s),Start Time (s),Test Name
0,3.208867073059082,1564385504.701081,1564385501.492214,CSV file read-write
1,2.001984119415283,1564385506.704711,1564385504.7027268,Image file read-rotate-write
2,2.9177262783050537,1564385509.6248372,1564385506.707111,ND-Array power calculation
3,2.005774974822998,1564385511.632709,1564385509.626934,Mandelbrot set in Python
4,2.8792457580566406,1564385514.5134988,1564385511.634253,CSV file read-write
5,1.9433929920196533,1564385516.458366,1564385514.514973,Image file read-rotate-write
6,2.6974949836730957,1564385519.1579661,1564385516.4604712,ND-Array power calculation
7,2.0716559886932373,1564385521.231862,1564385519.160206,Mandelbrot set in Python
8,2.935514211654663,1564385524.168214,1564385521.2326999,CSV file read-write
9,1.9256079196929932,1564385526.094869,1564385524.169261,Image file read-rotate-write
10,2.6946189403533936,1564385528.7915258,1564385526.096907,ND-Array power calculation
11,2.057152032852173,1564385530.850817,1564385528.793665,Mandelbrot set in Python
