,Duration (s),End Time (s),Start Time (s),Test Name
0,2.0110230445861816,1564384847.807605,1564384845.796582,CSV file read-write
1,0.8750419616699219,1564384848.683619,1564384847.808577,Image file read-rotate-write
2,1.4249508380889893,1564384850.1106648,1564384848.685714,ND-Array power calculation
3,1.3902978897094727,1564384851.502354,1564384850.112056,Mandelbrot set in Python
4,1.9671680927276611,1564384853.469921,1564384851.502753,CSV file read-write
5,0.8003411293029785,1564384854.271146,1564384853.470805,Image file read-rotate-write
6,1.3895690441131592,1564384855.663029,1564384854.27346,ND-Array power calculation
7,1.3318898677825928,1564384856.9963078,1564384855.664418,Mandelbrot set in Python
8,1.9579432010650635,1564384858.9546082,1564384856.996665,CSV file read-write
9,0.7966830730438232,1564384859.752274,1564384858.955591,Image file read-rotate-write
10,1.4091992378234863,1564384861.164333,1564384859.7551339,ND-Array power calculation
11,1.3624670505523682,1564384862.528524,1564384861.1660569,Mandelbrot set in Python
